country,name
france,accorhotels
france,adp aerports de paris
france,air france
france,air liquide
france,axa group
france,bnp paribas
france,bonduelle
france,bouygues
france,bureau veritas
france,carrefour
france,danone
france,edf
france,engie
france,faurecia
france,gecina
france,groupe casino
france,groupe eurotunnel
france,hermes international
france,ipsos
france,kering
france,klepierre
france,l'oreal
france,legrand
france,lvmh
france,maurel et prom
france,mersen
france,"michelin "
france,nexans
france,nexity
france,pernod ricard
france,plastic omnium
france,renault
france,rexel
france,saaint gobain
france,safran
france,schneider electric
france,societe generale
france,sodexo
france,total
france,valeo
france,vallourec
france,veolia
france,vinci
germany,aareal bank
germany,adidas
germany,alba se
germany,allianz
germany,aurubis
germany,basf
germany,baywa munich
germany,beiersdorf
germany,bmw
germany,brenntag
germany,cewe stiftung
germany,commerzbank
germany,continental
germany,cropenergies
germany,daimler
germany,deutsche borse
germany,deutsche post
germany,deutsche wohnen
germany,dic assets
germany,elringklinger
germany,eon
germany,evonik industries
germany,fielmann
germany,fraport ag
germany,fuchs petrolub
germany,hamburger hafrn logistik
germany,hannover rueck
germany,heidelberg cement
germany,henkel
germany,hornbach holding
germany,hugo boss
germany,indus holding
germany,kion group
germany,lanxess
germany,leoni ag
germany,lufthansa
germany,mtu
germany,munich re
germany,osram
germany,puma
germany,rwe
germany,siemens
germany,suedzucker ag
germany,symrise ag
germany,takkt
germany,talanx
germany,thyssenkrupp
germany,volkswagen ag
germany,vonovia
germany,wacker chemie
germany,wacker neuson
united kingdom,acacia mining
united kingdom,anglo american
united kingdom,aviva
united kingdom,aggreko
united kingdom,ashtead group
united kingdom,bae systems
united kingdom,barclays
united kingdom,bba aviation
united kingdom,british american tabacco
united kingdom,britvic
united kingdom,balfour beatty
united kingdom,barrat developments plc
united kingdom,bellway plc
united kingdom,burberry group
united kingdom,centrica plc
united kingdom,city of london investment group
united kingdom,cobham
united kingdom,compass
united kingdom,crest nicholson
united kingdom,"diageo "
united kingdom,ds smith
united kingdom,debenhams
united kingdom,dignity
united kingdom,domino's pizza group plc
united kingdom,essentra
united kingdom,euromoney insttutional investors plc
united kingdom,greggs
united kingdom,greene king
united kingdom,hsbc holdings
united kingdom,interserve plc
united kingdom,intercontinetal hotels group
united kingdom,jd sports fashion
united kingdom,jkx oil and gas
united kingdom,johnson matthey
united kingdom,"jupiter found management "
united kingdom,james fisher and sons
united kingdom,kier group
united kingdom,king fisher
united kingdom,lloyds banking group
united kingdom,london stock exchange
united kingdom,meggitt
united kingdom,mitie group
united kingdom,mondi plc
united kingdom,morrison supermarket
united kingdom,marks and spencer group plc
united kingdom,merlin enterteinments group
united kingdom,morgan advanced materials
united kingdom,n brown group plc
united kingdom,national grid
united kingdom,national express group
united kingdom,next
united kingdom,ophir energy
united kingdom,pennon group
united kingdom,prudential
united kingdom,pearson
united kingdom,persimmon
united kingdom,petrofac
united kingdom,rekitt benckise
united kingdom,royal bank of scotland group
united kingdom,rpc group
united kingdom,rsa insurance group
united kingdom,rightmove
united kingdom,rolls royce
united kingdom,rotork plc
united kingdom,royal mail group
united kingdom,sainsbury
united kingdom,segro
united kingdom,severn trent
united kingdom,sse plc
united kingdom,senior plc
united kingdom,serco group
united kingdom,socointernatinal plc
united kingdom,sports direct international
united kingdom,stagecoach group
united kingdom,supergroup plc
united kingdom,tesco
united kingdom,taylor wimpey plc
united kingdom,ted baker
united kingdom,thomas cook group
united kingdom,travis perkins
united kingdom,tullow oil
united kingdom,unilever
united kingdom,united utilities
united kingdom,victrex group
united kingdom,wh smits
united kingdom,wpp group
united kingdom,weir group
united kingdom,wood group
