,,debt_to_assets_index,debt_to_assets_index,debt_to_assets_index,debt_to_assets_index,debt_to_assets_index,debt_to_assets_pct_change,debt_to_assets_pct_change,debt_to_assets_pct_change,debt_to_assets_pct_change,price_index,price_index,price_index,price_index,price_index,price_pct_change,price_pct_change,price_pct_change,price_pct_change
year,,2014,2015,2016,2017,2018,2015,2016,2017,2018,2014,2015,2016,2017,2018,2015,2016,2017,2018
country,sector,,,,,,,,,,,,,,,,,,
europe,consumer discretionary,100.0,94.19384568122473,84.92140699400966,81.55752393630632,87.86032461215504,-0.058061543187752696,-0.0984399630374504,-0.039611720728327304,0.07728043191663092,100.0,111.92646641839875,117.8461592327879,160.64777718338374,190.4444743554714,0.1192646641839874,0.052889124474460036,0.3631990913343852,0.18547842799016112
europe,consumer staples,100.0,95.32457050616868,101.54502478957679,104.36988354663914,101.71797532572349,-0.04675429493831318,0.0652555185969137,0.02781878051550124,-0.02540874944763749,100.0,112.96298695583604,110.53187682363419,122.57832775399753,123.80861113481441,0.12962986955836042,-0.0215212982386197,0.10898621534839914,0.010036712062885478
europe,energy and materials,100.0,98.75000000000011,105.49145299145314,98.75356125356122,93.4116809116808,-0.012499999999998845,0.06826787839446102,-0.06387144689757784,-0.0540930400288504,100.0,110.53792682361698,103.72936924070943,126.56226991389478,124.53262369579102,0.10537926823616983,-0.06159476460755253,0.2201199220656631,-0.016036740013312123
europe,financials,100.0,97.41471659485285,92.13940533720553,93.61773037827005,97.25998047944377,-0.02585283405147154,-0.05415312431269803,0.0160444387030092,0.03890555866348078,100.0,118.11405243348673,115.753760915616,132.50832312619983,137.712780496445,0.18114052433486738,-0.019983155850146428,0.14474313472024325,0.039276456357299816
europe,industrials,100.0,98.79731333001617,98.17444219066918,98.00700371235018,104.34478931455419,-0.012026866699838323,-0.006304535197899419,-0.0017055200374228585,0.06466666015834299,100.0,111.11765025774878,104.45795725675843,127.6509859445174,127.887518412865,0.11117650257748779,-0.05993370977106249,0.22203218688979653,0.0018529623300396203
europe,utilities,100.0,104.91286614757138,110.8546533185021,113.28327771598072,91.14757137560264,0.04912866147571382,0.05663544795900388,0.021908186303202015,-0.19540135831764893,100.0,84.95461129025529,65.56070234355774,68.78532302575503,74.59901175993753,-0.15045388709744711,-0.2282855356778276,0.04918526749910823,0.08451932008817775
united kingdom,consumer discretionary,100.0,91.25970168322193,94.27161519052022,98.70644223705628,102.03296176818112,-0.08740298316778061,0.033003762358912336,0.047043079060153925,0.03370113901112726,100.0,118.29711078959903,109.5825027020364,116.09762474314974,111.47169203835486,0.18297110789599036,-0.07366712533717135,0.0594540358220188,-0.039845196790452175
united kingdom,consumer staples,100.0,99.54479535932977,94.01385755720266,93.89300676764421,89.60280373831763,-0.00455204640670237,-0.05556230019020003,-0.0012854571942749748,-0.04569246610605926,100.0,112.88887508912558,127.97344220598748,142.7412329647035,131.59710462370424,0.12888875089125573,0.13362315024357052,0.11539730825514272,-0.07807224380466815
united kingdom,energy and materials,100.0,127.03776504537674,127.00430764083488,113.45405880138877,119.35092635188829,0.2703776504537674,-0.0002633658151173224,-0.10669125395152645,0.05197581834266951,100.0,90.62847515882257,89.45779127998883,99.85814389279575,106.77606607248129,-0.09371524841177437,-0.012917395738835546,0.11625988596404602,0.06927749615607093
united kingdom,financials,100.0,87.44671596346227,82.2183558068725,88.02957807742476,85.23705959112648,-0.12553284036537737,-0.05978909669717425,0.07068035128557648,-0.03172250222353867,100.0,113.35928662368057,109.52162239846042,138.94421553270803,148.7830064503561,0.13359286623680577,-0.03385399061269734,0.26864643245698683,0.07081108688063376
united kingdom,industrials,100.0,103.69012914219775,106.9049530328,103.24686298534003,99.16768769276281,0.03690129142197751,0.031004145883486434,-0.034218153076009616,-0.03950895140665356,100.0,91.297675499585,80.57244762701542,88.25699139520913,84.84190532195548,-0.08702324500415004,-0.11747536631004729,0.09537433694166597,-0.038694793684515116
united kingdom,utilities,100.0,103.9542294322132,100.77853418308227,103.2481170336037,101.38687717265358,0.039542294322131966,-0.030548975895220765,0.024505048327404744,-0.018026864938799347,100.0,105.62125702582877,109.76720887325983,104.23007990499369,87.47263352153342,0.05621257025828763,0.03925300611047655,-0.05044429046801635,-0.16077361159786863
