company_name,country,assets,price,sector,operating,debt_to_assets,age,date
adidas,germany,12417.0,82.91,consumer discretionary,6.08,15.08,64,2014-01-01T00:00:00.000Z
adidas,germany,12417.0,84.2,consumer discretionary,6.08,15.08,64,2014-02-01T00:00:00.000Z
adidas,germany,12417.0,78.49,consumer discretionary,6.08,15.08,64,2014-03-01T00:00:00.000Z
adidas,germany,12417.0,76.73,consumer discretionary,6.08,15.08,64,2014-04-01T00:00:00.000Z
adidas,germany,12417.0,78.71,consumer discretionary,6.08,15.08,64,2014-05-01T00:00:00.000Z
adidas,germany,12417.0,74.06,consumer discretionary,6.08,15.08,64,2014-06-01T00:00:00.000Z
adidas,germany,12417.0,59.33,consumer discretionary,6.08,15.08,64,2014-07-01T00:00:00.000Z
adidas,germany,12417.0,56.92,consumer discretionary,6.08,15.08,64,2014-08-01T00:00:00.000Z
adidas,germany,12417.0,58.98,consumer discretionary,6.08,15.08,64,2014-09-01T00:00:00.000Z
adidas,germany,12417.0,57.82,consumer discretionary,6.08,15.08,64,2014-10-01T00:00:00.000Z
adidas,germany,12417.0,63.592,consumer discretionary,6.08,15.08,64,2014-11-01T00:00:00.000Z
adidas,germany,12417.0,57.62,consumer discretionary,6.08,15.08,64,2014-12-01T00:00:00.000Z
adidas,germany,13343.0,61.04,consumer discretionary,6.26,13.71,65,2015-01-01T00:00:00.000Z
adidas,germany,13343.0,69.17,consumer discretionary,6.26,13.71,65,2015-02-01T00:00:00.000Z
adidas,germany,13343.0,73.522,consumer discretionary,6.26,13.71,65,2015-03-01T00:00:00.000Z
adidas,germany,13343.0,72.975,consumer discretionary,6.26,13.71,65,2015-04-01T00:00:00.000Z
adidas,germany,13343.0,71.45,consumer discretionary,6.26,13.71,65,2015-05-01T00:00:00.000Z
adidas,germany,13343.0,68.8,consumer discretionary,6.26,13.71,65,2015-06-01T00:00:00.000Z
adidas,germany,13343.0,74.21,consumer discretionary,6.26,13.71,65,2015-07-01T00:00:00.000Z
adidas,germany,13343.0,66.536,consumer discretionary,6.26,13.71,65,2015-08-01T00:00:00.000Z
adidas,germany,13343.0,71.849,consumer discretionary,6.26,13.71,65,2015-09-01T00:00:00.000Z
adidas,germany,13343.0,81.27,consumer discretionary,6.26,13.71,65,2015-10-01T00:00:00.000Z
adidas,germany,13343.0,91.262,consumer discretionary,6.26,13.71,65,2015-11-01T00:00:00.000Z
adidas,germany,13343.0,89.91,consumer discretionary,6.26,13.71,65,2015-12-01T00:00:00.000Z
adidas,germany,15176.0,94.952,consumer discretionary,7.73,10.66,66,2016-01-01T00:00:00.000Z
adidas,germany,15176.0,97.696,consumer discretionary,7.73,10.66,66,2016-02-01T00:00:00.000Z
adidas,germany,15176.0,102.451,consumer discretionary,7.73,10.66,66,2016-03-01T00:00:00.000Z
